# Stars farther than  0.00pc and closer than  7.00pc
# Lum between 0.0 and 100.0
#Gliese	StarName    	Spec 	DistPC	  X	  Y	  Z 	 Xg	 Yg	 Zg	  Lum
  1   	DM-37 15492 	M4V   	 4.44	  3.52	  0.04	 -2.71	  1.04	 -0.30	 -4.31	 0.01
 15A  	DM+43 44    	M1Ve  	 3.55	  2.56	  0.17	  2.45	 -1.51	  3.01	 -1.12	 0.01
 15B  	    	M6Ve  	 3.55	  2.56	  0.17	  2.45	 -1.51	  3.01	 -1.12	 0.00
 19   	BET HYI     	G1IV  	 6.29	  1.35	  0.14	 -6.14	  2.76	 -3.97	 -4.02	 2.75
 33   	DM+04 123   	K2V   	 6.94	  6.78	  1.37	  0.61	 -1.95	  3.18	 -5.86	 0.22
 34A  	ETA CAS     	G0V   	 5.88	  3.09	  0.63	  4.96	 -3.16	  4.94	 -0.52	 1.32
 34B  	    	M0V   	 5.88	  3.09	  0.63	  4.96	 -3.16	  4.94	 -0.52	 0.03
 35   	VAN MAANEN 2	G wD  	 4.18	  4.08	  0.84	  0.38	 -1.19	  1.91	 -3.53	 0.00
 54.1 	L 725-32    	M5de  	 6.90	  6.28	  1.99	 -2.05	 -1.17	  0.67	 -6.76	 0.00
 65A  	L 726-8     	M5de  	 2.72	  2.36	  1.06	 -0.85	 -0.67	  0.05	 -2.64	 0.00
 65B  	UV CET      	M5de  	 2.72	  2.36	  1.06	 -0.85	 -0.67	  0.05	 -2.64	 0.00
 66A  	P ERI       	K2V   	 6.54	  3.29	  1.50	 -5.45	  1.11	 -3.11	 -5.64	 0.20
 66B  	DM-56 328   	K5Ve  	 6.54	  3.29	  1.50	 -5.45	  1.11	 -3.11	 -5.64	 0.17
 71   	TAU CET     	G8Vp  	 3.61	  3.13	  1.49	 -1.01	 -1.02	  0.12	 -3.46	 0.47
 83.1 	L 1159-16   	M8de  	 4.69	  3.99	  2.24	  1.04	 -2.73	  1.73	 -3.40	 0.00
139   	82 ERI      	G5V   	 6.21	  2.94	  3.44	 -4.26	 -1.14	 -3.27	 -5.16	 0.70
144   	EPS ERI     	K2Ve  	 3.31	  1.98	  2.59	 -0.55	 -2.13	 -0.60	 -2.46	 0.32
166A  	OMI(2) ERI  	K1Ve  	 4.88	  2.18	  4.32	 -0.66	 -3.60	 -1.36	 -3.00	 0.37
166B  	DM-07 781   	A wD  	 4.88	  2.17	  4.32	 -0.66	 -3.60	 -1.36	 -3.00	 0.00
166C  	    	M4de  	 4.88	  2.17	  4.32	 -0.66	 -3.60	 -1.36	 -3.00	 0.00
169.1A	AC+58 25001 	M4d   	 5.21	  1.06	  2.47	  4.46	 -4.38	  2.73	  0.66	 0.00
169.1B	AC+58 25002 	C wD  	 5.21	  1.06	  2.47	  4.46	 -4.38	  2.73	  0.66	 0.00
191   	DM-45 1841  	M0V   	 3.91	  0.60	  2.70	 -2.76	 -1.06	 -2.97	 -2.30	 0.00
205   	DM-03 1123  	M1Ve  	 5.88	  0.79	  5.82	 -0.38	 -4.95	 -2.51	 -1.96	 0.02
213   	AC+12 1800-2	M5d   	 5.95	  0.53	  5.79	  1.29	 -5.71	 -1.39	 -0.95	 0.00
223.2 	LP 658-2    	K wDe 	 6.02	  0.19	  6.01	 -0.44	 -5.04	 -2.93	 -1.50	 0.00
229   	DM-21 1377  	M1Ve  	 5.75	 -0.20	  5.33	 -2.14	 -3.61	 -4.09	 -1.82	 0.02
234A  	ROSS 614    	M7de  	 3.97	 -0.46	  3.94	 -0.19	 -3.31	 -2.14	 -0.43	 0.00
234B  	    	      	 3.97	 -0.46	  3.94	 -0.19	 -3.31	 -2.14	 -0.43	 91.20
244A  	ALF CMA     	A1V   	 2.65	 -0.47	  2.50	 -0.76	 -1.78	 -1.92	 -0.41	 24.66
244B  	    	A wD  	 2.65	 -0.47	  2.50	 -0.76	 -1.78	 -1.92	 -0.41	 0.00
251   	AC+33 25644 	M4d   	 5.95	 -1.11	  4.85	  3.27	 -5.74	 -0.29	  1.56	 0.00
268   	AC+38 23616 	M5de  	 5.92	 -1.33	  4.43	  3.69	 -5.56	  0.10	  2.02	 0.00
273   	DM+05 1668  	M5d   	 3.70	 -1.33	  3.44	  0.35	 -3.08	 -1.95	  0.67	 0.00
280A  	ALF CMI     	F5IV+ 	 3.51	 -1.43	  3.19	  0.33	 -2.84	 -1.90	  0.79	 8.02
280B  	    	F wD  	 3.51	 -1.43	  3.19	  0.33	 -2.84	 -1.90	  0.79	 0.00
285   	YZ CMI      	M4de  	 6.06	 -2.61	  5.46	  0.39	 -4.78	 -3.45	  1.41	 0.00
293   	L 97-12     	C wD  	 5.78	 -1.04	  1.94	 -5.35	  0.97	 -5.37	 -1.92	 0.00
299   	ROSS 619    	M5d   	 6.62	 -3.49	  5.53	  1.04	 -5.09	 -3.44	  2.47	 0.00
300   	L 674-15    	 M    	 5.85	 -2.94	  4.59	 -2.13	 -2.77	 -5.10	  0.70	 0.00
338A  	DM+53 1320  	M0Ve  	 6.02	 -2.69	  2.44	  4.80	 -4.27	  1.15	  4.08	 0.03
338B  	DM+53 1321  	M0Ve  	 6.02	 -2.69	  2.44	  4.80	 -4.27	  1.15	  4.08	 0.03
380   	DM+50 1725  	K7Ve  	 4.50	 -2.57	  1.36	  3.44	 -2.68	  0.68	  3.56	 0.04
388   	DM+20 2465  	M4Ve  	 4.90	 -4.14	  2.00	  1.69	 -2.28	 -1.69	  4.00	 0.00
406   	WOLF 359    	M8de  	 2.35	 -2.23	  0.66	  0.30	 -0.57	 -1.17	  1.95	 0.00
