# Weather data downloaded from https://www.ncdc.noaa.gov/cdo-web/search
"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-01",,,"0.30","0.0","0.0",,"52","45",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-02",,,"1.21","0.0","0.0",,"49","39",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-03",,,"0.24","0.0","0.0",,"49","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-04",,,"0.64","0.0","0.0",,"49","44",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-05",,,"0.76","0.0","0.0",,"49","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-06",,,"0.16","0.0","0.0",,"53","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-07",,,"0.00","0.0","0.0",,"52","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-08",,,"0.13","0.0","0.0",,"52","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-09",,,"0.00","0.0","0.0",,"44","33",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-10",,,"0.10","0.0","0.0",,"49","41",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-11",,,"0.91","0.0","0.0",,"49","42",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-12",,,"1.50","0.0","0.0",,"56","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-13",,,"0.23","0.0","0.0",,"56","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-14",,,"0.09","0.0","0.0",,"51","40",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-15",,,"0.11","0.0","0.0",,"55","40",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-16",,,"0.01","0.0","0.0",,"46","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-17",,,"0.02","0.0","0.0",,"50","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-18",,,"0.00","0.0","0.0",,"50","36",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-19",,,"0.00","0.0","0.0",,"43","35",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-20",,,"0.00","0.0","0.0",,"46","35",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-21",,,"0.02","0.0","0.0",,"47","41",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-22",,,"0.00","0.0","0.0",,"46","30",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-23",,,"0.00","0.0","0.0",,"44","28",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-24",,,"0.23","0.0","0.0",,"42","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-25",,,"0.00","0.0","0.0",,"47","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-26",,,"0.00","0.0","0.0",,"45","34",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-27",,,"0.14","0.0","0.0",,"47","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-28",,,"0.26","0.0","0.0",,"46","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-29",,,"0.03","0.0","0.0",,"49","41",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-30",,,"0.25","0.0","0.0",,"48","42",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-01-31",,,"0.27","0.0","0.0",,"47","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-01",,,"0.94","0.0","0.0",,"49","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-02",,,"0.48","0.0","0.0",,"46","40",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-03",,,"0.04","0.0","0.0",,"50","39",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-04",,,"0.15","0.0","0.0",,"48","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-05",,,"0.12","0.0","0.0",,"49","44",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-06",,,"0.00","0.0","0.0",,"49","44",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-07",,,"0.01","0.0","0.0",,"50","39",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-08",,,"0.31","0.0","0.0",,"45","33",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-09",,,"0.00","0.0","0.0",,"44","33",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-10",,,"0.00","0.0","0.0",,"43","29",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-11",,,"0.05","0.5","0.0",,"37","29",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-12",,,"0.11","1.1","0.0",,"33","26",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-13",,,"0.59","6.1","3.1",,"31","27",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-14",,,"0.35","1.3","5.9",,"35","29",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-15",,,"0.26","0.0","3.1",,"44","34",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-16",,,"0.03","0.0","0.0",,"50","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-17",,,"0.14","0.0","0.0",,"49","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-18",,,"0.05","0.0","0.0",,"47","35",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-19",,,"0.02","0.0","0.0",,"50","42",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-20",,,"0.02","0.0","0.0",,"49","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-21",,,"0.16","0.0","0.0",,"53","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-22",,,"0.14","0.0","0.0",,"53","39",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-23",,,"0.00","0.0","0.0",,"50","35",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-24",,,"0.01","0.0","0.0",,"47","34",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-25",,,"0.20","0.0","0.0",,"49","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-26",,,"0.18","0.0","0.0",,"51","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-27",,,"0.02","0.0","0.0",,"48","36",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-02-28",,,"0.03","0.0","0.0",,"53","40",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-01",,,"0.00","0.0","0.0",,"58","39",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-02",,,"0.02","0.0","0.0",,"48","40",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-03",,,"0.00","0.0","0.0",,"59","34",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-04",,,"0.37","0.0","0.0",,"52","34",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-05",,,"0.18","0.0","0.0",,"53","44",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-06",,,"0.00","0.0","0.0",,"52","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-07",,,"0.39","0.0","0.0",,"48","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-08",,,"0.00","0.0","0.0",,"56","33",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-09",,,"0.03","0.0","0.0",,"56","36",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-10",,,"0.00","0.0","0.0",,"54","34",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-11",,,"0.00","0.0","0.0",,"56","32",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-12",,,"0.00","0.0","0.0",,"56","34",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-13",,,"0.00","0.0","0.0",,"62","33",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-14",,,"0.35","0.0","0.0",,"47","39",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-15",,,"0.01","0.0","0.0",,"48","35",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-16",,,"0.00","0.0","0.0",,"54","30",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-17",,,"0.00","0.0","0.0",,"57","35",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-18",,,"0.20","0.0","0.0",,"55","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-19",,,"0.06","0.0","0.0",,"58","39",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-20",,,"0.37","0.0","0.0",,"53","42",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-21",,,"0.10","0.0","0.0",,"44","40",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-22",,,"0.26","0.0","0.0",,"52","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-23",,,"0.00","0.0","0.0",,"55","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-24",,,"0.11","0.0","0.0",,"48","44",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-25",,,"0.52","0.0","0.0",,"54","40",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-26",,,"0.00","0.0","0.0",,"55","39",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-27",,,"0.00","0.0","0.0",,"55","43",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-28",,,"0.25","0.0","0.0",,"49","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-29",,,"0.00","0.0","0.0",,"52","34",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-30",,,"0.00","0.0","0.0",,"56","31",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-03-31",,,"0.00","0.0","0.0",,"63","35",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-01",,,"0.00","0.0","0.0",,"57","37",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-02",,,"0.00","0.0","0.0",,"59","40",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-03",,,"0.05","0.0","0.0",,"64","39",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-04",,,"0.04","0.0","0.0",,"50","36",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-05",,,"0.00","0.0","0.0",,"56","33",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-06",,,"0.00","0.0","0.0",,"61","36",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-07",,,"0.06","0.0","0.0",,"49","42",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-08",,,"0.13","0.0","0.0",,"54","39",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-09",,,"0.00","0.0","0.0",,"50","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-10",,,"0.02","0.0","0.0",,"51","38",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-11",,,"0.00","0.0","0.0",,"53","34",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-12",,,"0.00","0.0","0.0",,"56","36",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-13",,,"0.00","0.0","0.0",,"60","40",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-04-14",,,"0.00","0.0","0.0",,"65","38",
