#
# $Id: polar.dat,v 3.26 92/03/24 22:32:34 woo Exp Locker: woo $
#
# Input data ncmain.d4 generated by genpat2.f:Tx antenna pattern
# x,y,z of center point B in coord 3
#     -5.12000     0.00000    -1.50000  
# euler matrix
#      0.00000    -1.00000     0.00000  
#      0.70710     0.00000     0.70710  
#     -0.70710     0.00000     0.70710  
#  theta(deg)    phi(deg)  E-theta(dB)  phase     E-phi(dB)    phase
      0.000      0.000   -200.000      0.000     18.992      0.000 
      2.000      0.000   -200.000      0.000     18.898      0.000 
      4.000      0.000   -200.000      0.000     18.619      0.000 
      6.000      0.000   -200.000      0.000     18.152      0.000 
      8.000      0.000   -200.000      0.000     17.497      0.000 
     10.000      0.000   -200.000      0.000     16.651      0.000 
     12.000      0.000   -200.000      0.000     15.614      0.000 
     14.000      0.000   -200.000      0.000     14.382      0.000 
     16.000      0.000   -200.000      0.000     12.952      0.000 
     18.000      0.000   -200.000      0.000     11.320      0.000 
     20.000      0.000   -200.000      0.000      9.483      0.000 
     22.000      0.000   -200.000      0.000      7.434      0.000 
     24.000      0.000   -200.000      0.000      5.169      0.000 
     26.000      0.000   -200.000      0.000      2.680      0.000 
     28.000      0.000   -200.000      0.000     -0.039      0.000 
     30.000      0.000   -200.000      0.000     -2.998      0.000 
     32.000      0.000   -200.000      0.000     -6.204      0.000 
     34.000      0.000   -200.000      0.000     -9.670      0.000 
     36.000      0.000   -200.000      0.000    -13.407      0.000 
     38.000      0.000   -200.000      0.000    -17.429      0.000 
     40.000      0.000   -200.000      0.000    -21.751      0.000 
     42.000      0.000   -200.000      0.000    -26.391      0.000 
     44.000      0.000   -200.000      0.000    -31.368      0.000 
     46.000      0.000   -200.000      0.000    -36.705      0.000 
     48.000      0.000   -200.000      0.000    -42.429      0.000 
     50.000      0.000   -200.000      0.000    -48.569      0.000 
     52.000      0.000   -200.000      0.000    -55.160      0.000 
     54.000      0.000   -200.000      0.000    -62.243      0.000 
     56.000      0.000   -200.000      0.000    -69.867      0.000 
     58.000      0.000   -200.000      0.000    -78.087      0.000 
     60.000      0.000   -200.000      0.000    -86.971      0.000 
     62.000      0.000   -200.000      0.000    -96.602      0.000 
     64.000      0.000   -200.000      0.000   -107.080      0.000 
     66.000      0.000   -200.000      0.000   -118.530      0.000 
     68.000      0.000   -200.000      0.000   -131.110      0.000 
     70.000      0.000   -200.000      0.000   -145.022      0.000 
     72.000      0.000   -200.000      0.000   -160.534      0.000 
     74.000      0.000   -200.000      0.000   -177.982      0.000 
     76.000      0.000   -200.000      0.000   -195.848      0.000 
     78.000      0.000   -200.000      0.000   -199.967      0.000 
     80.000      0.000   -200.000      0.000   -200.000      0.000 
     82.000      0.000   -200.000      0.000   -200.000      0.000 
     84.000      0.000   -200.000      0.000   -200.000      0.000 
     86.000      0.000   -200.000      0.000   -200.000      0.000 
     88.000      0.000   -200.000      0.000   -200.000      0.000 
     90.000      0.000   -200.000      0.000   -200.000      0.000 
     92.000      0.000   -200.000      0.000   -200.000      0.000 
     94.000      0.000   -200.000      0.000   -200.000      0.000 
     96.000      0.000   -200.000      0.000   -200.000      0.000 
     98.000      0.000   -200.000      0.000   -200.000      0.000 
    100.000      0.000   -200.000      0.000   -200.000      0.000 
    102.000      0.000   -200.000      0.000   -200.000      0.000 
    104.000      0.000   -200.000      0.000   -200.000      0.000 
    106.000      0.000   -200.000      0.000   -200.000      0.000 
    108.000      0.000   -200.000      0.000   -200.000      0.000 
    110.000      0.000   -200.000      0.000   -200.000      0.000 
    112.000      0.000   -200.000      0.000   -200.000      0.000 
    114.000      0.000   -200.000      0.000   -200.000      0.000 
    116.000      0.000   -200.000      0.000   -200.000      0.000 
    118.000      0.000   -200.000      0.000   -200.000      0.000 
    120.000      0.000   -200.000      0.000   -200.000      0.000 
    122.000      0.000   -200.000      0.000   -200.000      0.000 
    124.000      0.000   -200.000      0.000   -200.000      0.000 
    126.000      0.000   -200.000      0.000   -200.000      0.000 
    128.000      0.000   -200.000      0.000   -200.000      0.000 
    130.000      0.000   -200.000      0.000   -200.000      0.000 
    132.000      0.000   -200.000      0.000   -200.000      0.000 
    134.000      0.000   -200.000      0.000   -200.000      0.000 
    136.000      0.000   -200.000      0.000   -200.000      0.000 
    138.000      0.000   -200.000      0.000   -200.000      0.000 
    140.000      0.000   -200.000      0.000   -200.000      0.000 
    142.000      0.000   -200.000      0.000   -200.000      0.000 
    144.000      0.000   -200.000      0.000   -200.000      0.000 
    146.000      0.000   -200.000      0.000   -200.000      0.000 
    148.000      0.000   -200.000      0.000   -200.000      0.000 
    150.000      0.000   -200.000      0.000   -200.000      0.000 
    152.000      0.000   -200.000      0.000   -200.000      0.000 
    154.000      0.000   -200.000      0.000   -200.000      0.000 
    156.000      0.000   -200.000      0.000   -200.000      0.000 
    158.000      0.000   -200.000      0.000   -200.000      0.000 
    160.000      0.000   -200.000      0.000   -200.000      0.000 
    162.000      0.000   -200.000      0.000   -200.000      0.000 
    164.000      0.000   -200.000      0.000   -200.000      0.000 
    166.000      0.000   -200.000      0.000   -200.000      0.000 
    168.000      0.000   -200.000      0.000   -200.000      0.000 
    170.000      0.000   -200.000      0.000   -200.000      0.000 
    172.000      0.000   -200.000      0.000   -200.000      0.000 
    174.000      0.000   -200.000      0.000   -200.000      0.000 
    176.000      0.000   -200.000      0.000   -200.000      0.000 
    178.000      0.000   -200.000      0.000   -200.000      0.000 
    180.000      0.000   -200.000      0.000   -200.000      0.000 
